dataset,scene,image,rotation_matrix,translation_vector
ETs,another_ET,another_et002.jpg,0.9998823441771764;0.0018203113813494525;-0.015231029815135532;-0.002213841335277064;0.9996631088157815;-0.02586054483782871;0.015178824371368044;0.025891221277530733;0.9995495225107464,-3.2485470080504353;-0.7767913284198912;1.0356930898563004
ETs,another_ET,another_et005.jpg,0.9966502678145595;0.008527672217838168;0.08133586215017415;-0.012042859341348425;0.999009961616978;0.04282599828292153;-0.08089013044897082;-0.043662059005381455;0.9957662433520023,-4.059136960086717;-1.9633426530961768;1.1673914599970865
ETs,another_ET,another_et007.jpg,0.7737787022792384;0.2521858247629046;-0.5810927892236414;-0.3127217359467925;0.9498354857918291;-0.004203069952384508;0.5508825970798882;0.18497259180552564;0.8138264584758006,1.717972400175342;0.08041732353846869;0.42943506348558386
ETs,another_ET,another_et006.jpg,0.9153057692415962;0.18819592195327234;-0.3560865677798134;-0.22277734335750277;0.9731225437119287;-0.058333268434046764;0.335537783386049;0.13272079671167986;0.9326304659620518,-0.47871014676636303;-0.2434246250771044;0.9694594260924697
ETs,another_ET,another_et012.jpg,0.9969821664473553;-0.03594151325256237;0.06880964620642877;0.02347476193593742;0.9844507741389904;0.17408506210813585;-0.07399659004298156;-0.1719444123030997;0.9823235840290879,-3.2662721571802353;-1.613821189082416;-0.4983867900996082
ETs,another_ET,another_et001.jpg,1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0,-3.443480711973904;-1.7258487159668943;2.918493361578919
ETs,another_ET,another_et004.jpg,0.999747694004815;-0.0063490717662377785;0.021546174132822414;0.004046893200884403;0.9944368524751972;0.1052566819477205;-0.022094591815088577;-0.10514292999022862;0.9942116441108475,-3.407453481220049;-1.1579333418205984;-0.6635326062891904
ETs,another_ET,another_et003.jpg,0.9987169683676173;-0.03545903049156567;0.036153481868195704;0.03856376941682859;0.9952717844019983;-0.08914544778970972;-0.03282152925994484;0.09042528589869318;0.9953622530954136,-3.5431219391684348;1.0732008768285466;-1.1137488103637114
ETs,another_ET,another_et009.jpg,0.30991705743828746;0.3216458840076176;-0.8947040531984595;-0.48594184291878817;0.8624251367676231;0.14171594395846376;0.8171976155187223;0.3908539481344724;0.4235814542897388,5.9617341111499424;-0.8028890003396387;2.5275013642975668
ETs,another_ET,another_et011.jpg,0.9586606637765221;0.02673772252649207;-0.2832928271623804;0.075790390588793;0.9356189646822972;0.3447795957147469;0.2742727628146044;-0.35199751010614044;0.8949146352904959,-1.0765559710554102;-4.214236457197203;39.735375058447495
ETs,another_ET,another_et008.jpg,0.5595960605273038;0.2912694452007226;-0.7758958430967298;-0.3909412780569268;0.9182733848799376;0.06276071806758302;0.7307647816866509;0.26820906195280814;0.6277314178315883,3.8907462669796113;-0.36568051482336716;1.614096091975067
ETs,another_ET,another_et010.jpg,-0.1958883615217064;0.3340521104107963;-0.9219744776025175;-0.5623296971855604;0.7319829124170302;0.3846899109577458;0.8033760398988371;0.5938099051544826;0.04446048871624153,7.483104832051266;-2.2372932824821894;5.291293692498427
ETs,ET,et005.jpg,0.6847491376061305;-0.23419369112501476;0.6901245783080774;0.4312168926207184;0.8936012447504628;-0.12461463356667013;-0.5875122212058166;0.3829231390470741;0.7128809574649493,-3.656150622929596;-0.45326852631839665;1.4780517094625836
ETs,ET,et003.jpg,0.8770652897441742;0.05610834139235108;-0.47708314951606395;-0.07484178996189533;0.9969880482159142;-0.0203356384193221;0.47450519912985906;0.05354143947281626;0.8786228600815662,3.633791425078352;-1.6385616272351269;1.8500321979493497
ETs,ET,et000.jpg,0.9084337040308524;0.10899218423375855;-0.4035702035045947;-0.13673776482837968;0.9897796044995634;-0.0404860245816574;0.3950328961624896;0.09196215685075179;0.9140524999456177,3.2968778009839688;-1.5970904303169269;1.4970050485095618
ETs,ET,et001.jpg,0.9746990526054747;0.15065355909986564;-0.16512196092747097;-0.15211042145387724;0.988355966188215;0.0038605420971677823;0.16378087963835644;0.02135390434331527;0.9862656002488289,1.5039927734465413;-1.8083328230685545;1.8348691179343388
ETs,ET,et004.jpg,0.9865893118311724;-0.09965767875871998;-0.12926668884487424;0.043979219025227695;0.9249833048905028;-0.37745425413919254;0.15718574386509998;0.36670728481755976;0.9169615091089202,1.6259300817067026;1.287574664647266;0.7769065294112871
ETs,ET,et008.jpg,0.4478552988822868;-0.382483048559371;0.8081660403826603;0.5708713003289959;0.8179835018614039;0.07077392982755759;-0.6881363162366445;0.4296623188589901;0.5846868409918052,-5.431696442514573;-2.164949971776127;2.8354339491387877
ETs,ET,et007.jpg,0.6938685870548749;-0.20226460211146086;0.6911117236968014;0.2993460571645454;0.9539053826752693;-0.021364900261617595;-0.6549338302137953;0.2217060027059271;0.7224320912069502,-4.212203121016741;-0.9110209222198542;2.4034020156822864
ETs,ET,et002.jpg,0.9996730159499825;-0.0006215730372893635;0.025563153726124725;0.0006147234727712256;0.9999997730234891;0.00027580431905868;-0.02556331935641758;-0.00025999986481191383;0.9996731711432253,0.6087993602766878;-1.4663202802435173;1.8615727845100654
ETs,ET,et006.jpg,0.736883370942545;-0.16371986862436647;0.6558953439733902;0.2284188258736989;0.9734674988055292;-0.013633369201627346;-0.6362607465613704;0.15986504742102708;0.7547287121862002,-3.4909298678988936;-1.3875562181345236;1.808345198383854
ETs,outliers,out_et001.jpg,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
ETs,outliers,out_et002.jpg,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
ETs,outliers,out_et003.jpg,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
kermits,another_kermit,another_kermit009.jpg,0.9931115534099433;-0.10484900045373538;-0.05230802603369709;0.1122537038593169;0.9793437054553683;0.16818148695624524;0.033593875238711525;-0.1728947474297629;0.9843672372939097,-0.5426572584461828;-0.8611986569480696;-3.2691450600577627
kermits,another_kermit,another_kermit008.jpg,0.9999999586481123;5.496565881944354e-05;0.0002822809770270942;-5.492523687691128e-05;0.9999999882380166;-0.00014320329947501863;-0.00028228884497061085;0.0001431877892037628;0.9999999499051313,1.8395134933679977;-2.6432885242099156;6.002432683116686
kermits,another_kermit,another_kermit011.jpg,0.9820191630401107;-0.05696768773323531;0.17998068223098013;0.017563824158220664;0.976817749060885;0.21335087813403758;-0.18796243109445981;-0.2063535017244787;0.9602543188255421,-1.5010530233415929;-1.4834911563891837;-2.16835663600788
kermits,another_kermit,another_kermit010.jpg,0.9957083838347087;-0.08919106471932349;0.024693487714492923;0.07593576792480071;0.939897713011968;0.3329054643957394;-0.052901545449477866;-0.32960164297088324;0.942636824784578,-1.835045475741386;-0.9023016726458915;-5.527390715014194
kermits,kermit,kermit003.jpg,0.6657846922318708;-0.3782567139015953;0.6431583024249006;0.27251665339133313;0.9257005308748087;0.262322703482724;-0.6945973057924291;0.0006209077740071678;0.7193984968426297,-3.6929158714421253;-0.8753461967995597;2.5981443061957235
