dataset,scene,image,rotation_matrix,translation_vector
ETs,dioscuri,dioscuri009.jpg,0.6441611890561914;-0.2122697831657421;0.7348454950998083;0.21678988777254518;0.9719923431590998;0.09073604245089167;-0.7335247146983398;0.1008584354174284;0.6721376859928831,-4.605361985984701;-0.6537285695264388;2.080919291770069
ETs,dioscuri,dioscuri007.jpg,0.9183540563804927;-0.1303889056526398;0.3736636996179879;0.12905618970062196;0.9912218072398471;0.02870241718267962;-0.3741260844013044;0.02186463205449628;0.9271200627942799,-2.4242272918793537;-0.36180917256030193;0.898414240421997
ETs,dioscuri,dioscuri002.jpg,0.9363719964482138;0.0622977423198885;-0.3454366447981904;-0.05469599930566;0.9979990893498002;0.031720109030782456;0.34672154811540284;-0.010807819336677444;0.9379058370186445,3.3426318826494676;-0.6280532052469546;1.6824406936512928
ETs,dioscuri,dioscuri004.jpg,0.9969618754535726;-0.013223485818158248;-0.07676039548433926;0.014481490202711634;0.999769421830767;0.01585527084860856;0.07653303426366924;-0.016918705476215875;0.9969234935898568,1.1904531564911571;-0.36675505528629404;0.9141471832302238
ETs,dioscuri,dioscuri006.jpg,0.9776904622673767;-0.08484214835084339;0.19215402638148618;0.08328961003041879;0.9963943832450926;0.01615778136417296;-0.1928320534879618;0.00020712519193532598;0.9812317546057968,-1.2307972996962238;-0.288731305147594;0.729957153431233
ETs,dioscuri,dioscuri005.jpg,0.9974779350239256;-0.04875058055267536;0.051586335750685997;0.04814142425719122;0.998756102043949;0.012986604655029405;-0.05215527212942632;-0.010470411919023145;0.9985840966405141,0.0033574457546556116;-0.266830596523503;0.7806773051158216
ETs,dioscuri,dioscuri010.jpg,0.4111508863981752;-0.24251263071729737;0.8787164346685288;0.25107283214533455;0.9568044242373744;0.14658692546849827;-0.8763089532650661;0.16035247956412196;0.45427932016009975,-5.276667642599816;-0.9652116956886883;3.2858263811562667
ETs,dioscuri,dioscuri001.jpg,0.8497077358859844;0.11013995441661259;-0.5156219099462519;-0.09651399013281209;0.9939058443994755;0.05325619379198124;0.5183452645526508;0.004512528079924676;0.8551595312023191,4.129942819908899;-0.8504198263306874;2.440891756290856
ETs,dioscuri,dioscuri003.jpg,0.9803068125702272;0.020785806005091438;-0.19638356218665595;-0.017096970535229218;0.9996444640925936;0.020460669772735335;0.19673903229130454;-0.01670016999165356;0.9803136526109033,2.3373475247189437;-0.4669824200815706;1.1839848935114607
ETs,dioscuri,dioscuri008.jpg,0.7951340591660283;-0.17800322755071665;0.5797212079402329;0.17868056861556966;0.9822815775264921;0.05653456333326356;-0.5795127974025868;0.058632358246908954;0.8128512558968182,-3.556743817823423;-0.46401058975052656;1.405864217778033
